,id,Employee_ID,Domain,Working_years,Bored,Satisfied_with_company,Recommend_friends,Working_team,Team_improve,Coming_to_work,Satisfied_with_manager,Manager_improve,Culture_Values,Compensation_Benefits,Satisfied_with_management,Management_improve,Improve_work,Satisfied_with_HR,Hr_improve,Work_life_balance,Suggestions,Improve_company,Other_domain,Free_time
0,1,LMC0310,Python,1-2 years,No,9,7,Yes,,Yes,8,,6,5,6,NA,Remote clockin for 1 year exprience employees,7,NA,7,,,,
1,2,LMC0101,Hadoop,3-5 years,Yes,3,6,Yes,,No,8,,6,4,5,NA,Remote clock in,8,,6,,Organization need to follow CMMI ,,Workout in Gym
2,3,LMC0238,Python,1-2 years,No,9,8,Yes,,Yes I do but it would be good if its an hybrid pattern.,9,,9,9,9,,Nothing.,9,,9,It&#039;s Going Good.,,,
3,4,LMC0157,Quality Assurance,3-5 years,Yes,5,7,Yes,,Yes,8,,6,5,6,Need to give bonus,"Remote clock in
Hybrid mode ",7,Need to improve,4,no comments,Need to improve work life balance,,Workout in Gym
4,5,LMC0212,Angular,Less than a year,No,9,8,Yes,,Yes,9,,6,7,8,,NA,8,,8,,,,
5,6,LMC0226,Oracle,3-5 years,No,7,7,Yes,,No,7,Need to improve leadership,7,6,8,,Flexible work hours,8,,6,Nothing,,,
6,7,LMC0271,Angular,3-5 years,No,8,9,Yes,,Yes,9,,8,7,8,,Work life balance,8,,8,,,,
7,8,LMC0052,Java,3-5 years,Yes,8,9,Yes,,Yes,10,,9,8,10,,Flexible timings,9,,8,Nothing,,,Going to cafeteria
8,9,LMC0421,Quality Assurance,Less than a year,No,7,8,Yes,,No,8,,6,5,8,,Remote clock in,8,,6,,,,
9,10,LMC0326,Business Analyst,1-2 years,Yes,7,7,Yes,,Yes,8,,7,7,7,Need to improve a lot,Hybrid mode,7,Hike,8,Need to conduct some activities at office,,,Hangout with friends!
10,11,LMC0203,PowerBI,1-2 years,No,8,9,Yes,,Yes,9,,9,8,8,,Hybird ,8,,8,,,,
11,12,LMC0094,Tableau,3-5 years,No,8,8,Yes,,Yes ,8,,9,9,8,,Hybrid,7,Need to improve,9,,,,
12,13,LMC0122,Microstrategy,3-5 years,No,8,8,Yes,,Working with team,8,,8,7,8,,Benfits,9,,9,Fun activites,,,
13,14,LMC0268,Human Resource,1-2 years,No,8,9,Yes,,Working in office,9,,9,8,9,,Flexible work hours,10,,9,,,,
14,15,LMC0403,Business Analyst,Less than a year,Yes,9,7,Yes,,Learning day by day,9,,7,7,8,,Free hours,9,,8,Nothing,,,Reading books
15,16,LMC0117,NodeJS,3-5 years,No,5,7,Yes,,Flexible hours,8,,7,7,8,,Team work,8,,9,Noting,Need to improve company&#039;s clients,,
16,17,LMC0289,Devops,Less than a year,No,8,9,Yes,,Learning  and implementing,8,,8,7,8,,Interpersonal skills,8,,7,No,,,
17,18,LMC0324,Seibel,1-2 years,No,8,9,Yes,,Going out on friday,8,,7,8,8,,Communication,8,,8,No Comments,,,
18,19,LMC0198,Microstrategy,3-5 years,No,6,7,Yes,,Peace hours at work ,8,,8,8,8,,Time management,8,,8,Everting good,,,
19,20,LMC0082,DBA,3-5 years,Yes,8,7,Yes,,Flexible work hours,8,,8,7,8,,Mental Break,8,,8,Noting,,,Workout in Gym
20,21,LMC0269,DBA,3-5 years,No,6,7,Yes,,Learning,7,Communication,6,7,7,Need to expand your orginization ,Interpersonal skills,8,,7,,,,
21,22,LMC0240,Quality Assurance,3-5 years,No,7,8,Yes,,Team ,8,,8,7,8,,work life balance,8,,8,Need to improve,,,
22,23,LMC0058,Quality Assurance,3-5 years,No,7,8,No,Interaction,Team meetings,8,,7,6,8,,Skill set,8,,9,No Improvement,,,
23,24,LMC0498,Angular,Less than a year,No,3,5,No,No Interaction with team ,No excitement,4,No proper work flow,4,3,3,Need to give benfits,"Working time
Hybrid Mode",2,Treating differently,3,Not improve,Need to give proper training,,
24,25,LMC0479,Business Analyst,Less than a year,Yes,9,4,Yes,,Team work,3,There is no interaction,4,4,3,Time management,Once we got requirements they no need to change again,4,Hike,3,Need to improve employee management,,,Workout in Gym
25,26,LMC0222,Account & Finance,3-5 years,No,8,4,No,No Interaction,team ,2,no,2,1,2,need to improve,culture,1,treating,2,working time to be manazied,,,
