Domain,Bored,Satisfied_with_company,Recommend_friends,Satisfied_with_manager,Culture_Values,Compensation_Benefits,Satisfied_with_management,Satisfied_with_HR,Work_life_balance
Oracle,No,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
Oracle,No,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
.Net,No,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,neutral
Business Analyst,Yes,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
Oracle,No,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
Tableau,No,satisfied,neutral,unsatisfied,neutral,neutral,unsatisfied,unsatisfied,neutral
.Net,No,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
Angular,No,satisfied,satisfied,neutral,satisfied,satisfied,satisfied,satisfied,satisfied
Oracle,Yes,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
Angular,Yes,satisfied,neutral,satisfied,neutral,satisfied,neutral,satisfied,neutral
UI/UX,No,neutral,unsatisfied,satisfied,neutral,satisfied,satisfied,satisfied,neutral
ReactJS,No,satisfied,neutral,neutral,neutral,neutral,neutral,satisfied,neutral
Hadoop,No,satisfied,unsatisfied,satisfied,neutral,neutral,satisfied,neutral,neutral
Angular,No,neutral,neutral,neutral,neutral,neutral,neutral,neutral,unsatisfied
IT-SysAdmin,No,neutral,neutral,neutral,neutral,unsatisfied,neutral,unsatisfied,neutral
Business Analyst,No,satisfied,neutral,unsatisfied,neutral,neutral,neutral,neutral,neutral
Seibel,No,unsatisfied,neutral,satisfied,neutral,neutral,neutral,neutral,unsatisfied
Quality Assurance,Yes,neutral,neutral,neutral,neutral,neutral,unsatisfied,neutral,neutral
PowerBI,Yes,unsatisfied,neutral,neutral,unsatisfied,unsatisfied,neutral,neutral,neutral
Java,No,neutral,unsatisfied,unsatisfied,neutral,unsatisfied,unsatisfied,unsatisfied,neutral
PowerBI,No,unsatisfied,neutral,unsatisfied,unsatisfied,unsatisfied,unsatisfied,unsatisfied,neutral
Angular,No,neutral,neutral,neutral,unsatisfied,unsatisfied,neutral,unsatisfied,neutral
Angular,No,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,neutral,satisfied
Python,No,satisfied,unsatisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
Angular,No,neutral,neutral,neutral,neutral,neutral,neutral,unsatisfied,neutral
Business Analyst,No,neutral,neutral,neutral,neutral,neutral,neutral,unsatisfied,neutral
Business Analyst,No,neutral,satisfied,neutral,neutral,neutral,satisfied,neutral,neutral
Business Analyst,No,neutral,satisfied,neutral,neutral,neutral,satisfied,neutral,neutral
Python,No,satisfied,satisfied,satisfied,satisfied,satisfied,unsatisfied,neutral,neutral
Microstrategy,No,satisfied,unsatisfied,neutral,satisfied,satisfied,neutral,neutral,neutral
Oracle,No,satisfied,satisfied,neutral,satisfied,satisfied,satisfied,satisfied,satisfied
Hadoop,Yes,neutral,satisfied,neutral,satisfied,neutral,satisfied,neutral,satisfied
Hadoop,No,satisfied,neutral,satisfied,neutral,satisfied,satisfied,satisfied,satisfied
UI/UX,No,satisfied,unsatisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
Oracle,No,satisfied,satisfied,neutral,satisfied,satisfied,unsatisfied,neutral,satisfied
Seibel,No,satisfied,satisfied,satisfied,neutral,satisfied,neutral,satisfied,satisfied
Hadoop,No,satisfied,satisfied,neutral,satisfied,satisfied,satisfied,satisfied,satisfied
IT-SysAdmin,No,satisfied,neutral,neutral,satisfied,satisfied,satisfied,satisfied,satisfied
Angular,No,unsatisfied,satisfied,satisfied,satisfied,satisfied,neutral,satisfied,satisfied
Devops,No,neutral,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied
Angular,No,satisfied,neutral,satisfied,satisfied,satisfied,satisfied,unsatisfied,neutral
UI/UX,No,neutral,satisfied,neutral,neutral,satisfied,satisfied,neutral,neutral
Oracle,No,neutral,satisfied,neutral,neutral,satisfied,satisfied,satisfied,satisfied
.Net,No,neutral,neutral,satisfied,neutral,neutral,neutral,neutral,satisfied
